alias,categories,id,id_closed,name,rating,review_count
sapori-d-italia-new-york,italian,mtmEa4vFYa764G97sqQ9dQ,False,Sapori D'Italia,4.5,211
antica-ristorante-new-york,italian,0Tvwk0hvgaY0QVIsZGTZKQ,False,Antica Ristorante,4.5,462
forlinis-restaurant-new-york,italian,bdKc4CSJPv-XLgxVwrtPrg,False,Forlini's Restaurant,4.5,383
gelso-and-grand-new-york,italian,MphfKkYFEe0BDQ6hZ0A5fA,False,Gelso & Grand,4.5,772
carmines-italian-restaurant-times-square-new-york-5,italian,22nKUyCIbpnzR6R3_g1ptQ,False,Carmine's Italian Restaurant - Times Square,4.0,3437
forno-rosso-downtown-brooklyn-2,italian,ZTsN8TdMXl8SW_AKd_ablw,False,Forno Rosso,4.5,617
piccola-cucina-osteria-new-york,italian,qBGKigOGn_flCx1apxPzlA,False,Piccola Cucina Osteria,4.5,422
il-brigante-new-york,italian,xeC9vn3dxVVzAMR_aFwfXg,False,IL Brigante,4.0,358
il-posto-accanto-new-york,italian,kr5fRwdHtVwPPwSJxm9Fkg,False,Il Posto Accanto,4.5,196
gersi-brooklyn,italian,hpRrYBbKUqv8ewFKDjbjoA,False,Gersi,4.5,216
paesano-of-mulberry-street-new-york,italian,OCTiJwvjoK81WoDwsTkFvA,False,Paesano of Mulberry Street,4.0,705
trattoria-trecolori-new-york,italian,DoSU8IPq-Py_YV3kYmXPfQ,False,Trattoria Trecolori,4.0,2122
olio-e-piú-new-york-3,italian,16ZnHpuaaBt92XWeJHCC5A,False,Olio e Piú,4.0,1810
malatesta-trattoria-new-york,italian,IErfGS0DASSJfYU73m0Sqg,False,Malatesta Trattoria,4.0,1202
pepe-rosso-social-new-york-2,italian,04exhf1PZ79_Km9vHAzvfA,False,Pepe Rosso Social,4.0,781
rubirosa-new-york-2,italian,WG639VkTjmK5dzydd1BBJA,False,Rubirosa,4.5,1928
lillo-cucina-italiana-brooklyn,italian,qgY41g_eg0eNzewCXmKcaA,False,Lillo Cucina Italiana,5.0,86
supper-new-york,italian,Vs8kQ4R381y27AH018gLpg,False,Supper,4.0,1233
aunt-jakes-new-york,italian,I2lgw_7DUnwD92ND4PN-Ow,False,Aunt Jake's,4.0,1213
l-artusi-new-york,italian,rp8S7scxOkVVeG7dNneMGQ,False,L'Artusi,4.5,1703
sapori-d-italia-new-york,italian,mtmEa4vFYa764G97sqQ9dQ,False,Sapori D'Italia,4.5,211
antica-ristorante-new-york,italian,0Tvwk0hvgaY0QVIsZGTZKQ,False,Antica Ristorante,4.5,462
forlinis-restaurant-new-york,italian,bdKc4CSJPv-XLgxVwrtPrg,False,Forlini's Restaurant,4.5,383
gelso-and-grand-new-york,italian,MphfKkYFEe0BDQ6hZ0A5fA,False,Gelso & Grand,4.5,772
carmines-italian-restaurant-times-square-new-york-5,italian,22nKUyCIbpnzR6R3_g1ptQ,False,Carmine's Italian Restaurant - Times Square,4.0,3437
forno-rosso-downtown-brooklyn-2,italian,ZTsN8TdMXl8SW_AKd_ablw,False,Forno Rosso,4.5,617
piccola-cucina-osteria-new-york,italian,qBGKigOGn_flCx1apxPzlA,False,Piccola Cucina Osteria,4.5,422
il-brigante-new-york,italian,xeC9vn3dxVVzAMR_aFwfXg,False,IL Brigante,4.0,358
il-posto-accanto-new-york,italian,kr5fRwdHtVwPPwSJxm9Fkg,False,Il Posto Accanto,4.5,196
gersi-brooklyn,italian,hpRrYBbKUqv8ewFKDjbjoA,False,Gersi,4.5,216
paesano-of-mulberry-street-new-york,italian,OCTiJwvjoK81WoDwsTkFvA,False,Paesano of Mulberry Street,4.0,705
thai-villa-new-york-2,thai,B3_K2kUVbYOU0VaLcj_LTw,False,Thai Villa,4.5,2649
lovemama-new-york,thai,jjJc_CrkB2HodEinB6cWww,False,LoveMama,4.0,4290
up-thai-new-york,thai,-OixbLnFLCzQclxCSbUQ8w,False,Up Thai,4.5,2039
thai-holic-fort-greene,thai,9WgsvzaiXNAmmQGD0uQxFQ,False,Thai Holic,4.5,375
wok-wok-new-york,thai,0GftSP2dRwEzujkv2VKIgA,False,Wok Wok,4.0,793
top-thai-greenwich-new-york,thai,wGFSTTB6b4MHJJUzBnVJeg,False,Top Thai Greenwich,4.5,1144
pure-thai-cookhouse-new-york,thai,MhceeLrM2_3mcKw5EGLY6A,False,Pure Thai Cookhouse,4.0,2404
kind-fresh-meadows,thai,cegA4jf16vEt7NCQ7cpu2w,False,Kin'd,4.5,474
thai-market-new-york,thai,p2zm0HnXZkI2yCAuYLb45g,False,Thai Market,4.0,953
land-new-york,thai,83BXSwE0166sObnXLUE4bQ,False,Land,4.0,1027
pinto-restaurant-brooklyn-heights-2,thai,RrPIJvmje1qb9iaYd6jH0g,False,Pinto Restaurant,4.0,206
somtum-der-new-york,thai,qrydcGQpeDP_1oFvx3qOeg,False,Somtum Der,4.0,668
williamsburg-thai-cuisine-brooklyn,thai,liGIz8CzhyS1udx1aefjng,False,Williamsburg Thai Cuisine,4.0,195
sripraphai-thai-restaurant-woodside,thai,0L03onqNwxWLrbb_FCK79A,False,SriPraPhai Thai Restaurant,4.0,2252
thep-thai-restaurant-new-york-5,thai,O1fUmxt3kbV-rnyjBtzAfw,False,THEP Thai Restaurant,4.5,478
thailicious-les-new-york-2,thai,dqjko5ndMGayALuhwq3ghQ,False,Thailicious LES,5.0,20
copper-throat-thai-cuisine-new-york,thai,Nvhx093-K2xwHIZVnFstJw,False,Copper Throat Thai Cuisine,4.0,78
ugly-baby-brooklyn-3,thai,e64Y17DJgjotSz8B9gEI7Q,False,Ugly Baby,4.5,258
thailicious-new-york,thai,kpR9je2H9MjKz6zpesyV6g,False,Thailicious,4.0,265
kor-tor-mor-brooklyn,thai,5ZjNZd3Yg0jOkJ9WRx1r6g,False,Kor Tor Mor,4.0,210
